epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.887,2.44185,3.5865,0.92152,0.52922,0.07312,0.09045,0.04058,2.66274,4.52854,0.8368,0.0003329,0.0003329,0.0003329
2,896.485,1.98163,1.68048,0.8535,0.68161,0.10741,0.10502,0.04337,2.49289,2.6213,0.83024,0.000600276,0.000600276,0.000600276
3,1344.68,1.8712,1.19749,0.8406,0.61048,0.11577,0.13759,0.05898,2.67825,2.36568,0.85543,0.000801652,0.000801652,0.000801652
4,1791.55,1.75125,1.00046,0.83541,0.5717,0.12559,0.14685,0.07153,2.49904,2.17074,0.83634,0.000703,0.000703,0.000703
5,2238.29,1.63996,0.88825,0.8284,0.45989,0.1345,0.15764,0.06729,2.62234,1.90065,0.84422,0.000604,0.000604,0.000604
6,2685.41,1.56088,0.81414,0.82422,0.43214,0.13126,0.14948,0.06429,2.63236,2.28154,0.85871,0.000505,0.000505,0.000505
7,3132.5,1.46664,0.75122,0.82028,0.57439,0.11556,0.13545,0.0595,2.5791,2.69059,0.84486,0.000406,0.000406,0.000406
