epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1348.09,0.25936,0.50263,0.90005,0.85265,0.93353,0.85775,0.81455,0.35561,0.63674,0.4989,0.00047609,0.00047609,0.00047609
2,2662.99,0.22498,0.20447,0.88769,0.85717,0.92054,0.87612,0.82966,0.37239,0.51802,0.52263,0.000858133,0.000858133,0.000858133
3,3977.17,0.20825,0.17013,0.88668,0.88932,0.9611,0.9311,0.83987,0.41148,0.5267,0.54712,0.00114586,0.00114586,0.00114586
4,5289.58,0.19155,0.15148,0.88041,0.91024,0.94237,0.95079,0.91394,0.33501,0.51175,0.50039,0.00100459,0.00100459,0.00100459
5,6599.69,0.18008,0.1332,0.87858,0.9088,0.95779,0.95896,0.90875,0.36283,0.57993,0.52334,0.000863116,0.000863116,0.000863116
6,7912.97,0.16967,0.11957,0.87522,0.87719,0.94207,0.9343,0.87903,0.33963,0.5305,0.50091,0.000721645,0.000721645,0.000721645
7,9220.46,0.15685,0.10605,0.87518,0.88617,0.92963,0.9219,0.85191,0.37261,0.47772,0.53192,0.000580174,0.000580174,0.000580174
